"","LocID","Location","Covid_JHU_Q2","Covid_JHU_Q3","Covid_JHU_Q4","Covid_JHU_Q1","Covid_WHO_Q1"
"372","US17","Illinois",6951,8940,17978,23542,99
"373","US18","Indiana",2662,3645,8263,13038,49
"374","US19","Iowa",719,1366,3891,5729,7
"375","US20","Kansas",280,672,2736,4859,9
"376","US21","Kentucky",581,1191,2623,6065,17
"377","US22","Louisiana",3255,5519,7488,10132,239
"378","US23","Maine",105,141,347,738,5
"379","US24","Maryland",3212,3949,5895,8273,18
"380","US25","Massachusetts",8132,9480,12423,17148,90
"381","US26","Michigan",6212,7102,13018,17108,269
"382","US27","Minnesota",1495,2102,5382,6914,12
"383","US28","Mississippi",1092,2979,4787,7013,20
"384","US29","Missouri",1044,2074,5694,8848,15
"385","US30","Montana",22,181,961,1437,2
"386","US31","Nebraska",282,493,1651,2177,3
"387","US32","Nevada",525,1603,3122,5239,26
"388","US33","New Hampshire",375,441,759,1237,3
"389","US34","New Jersey",15107,16140,19042,24486,267
"390","US35","New Mexico",503,882,2477,3932,4
"391","US36","New York",32064,33159,37983,50212,2131
"392","US37","North Carolina",1409,3579,6748,12087,12
"393","US38","North Dakota",80,256,1292,1498,3
"394","US39","Ohio",2876,4817,8962,18609,55
"395","US40","Oklahoma",395,1035,2489,4850,23
"396","US41","Oregon",209,560,1477,2381,18
"397","US42","Pennsylvania",6712,8144,15947,25029,63
"398","US44","Rhode Island",959,1117,1777,2618,8
"399","US45","South Carolina",784,3400,5296,9126,22
"400","US46","South Dakota",97,236,1488,1935,2
"401","US47","Tennessee",620,2501,6907,11894,23
"402","US48","Texas",2542,16130,27944,48242,54
"403","US49","Utah",176,459,1269,2118,5
"404","US50","Vermont",56,58,136,225,13
"405","US51","Virginia",1816,3225,5032,10242,27
"406","US53","Washington",1342,2132,3461,5237,302
"407","US54","West Virginia",93,359,1338,2640,1
"408","US55","Wisconsin",793,1348,5242,7292,25
"409","US56","Wyoming",20,53,438,695,0
"410","USA","United States of America",128740,207789,345737,550996,2850
"411","UZB","Uzbekistan",27,471,614,628,2
"412","VAT","Holy See",0,0,0,0,0
"413","VCT","Saint Vincent and the Grenadines",0,0,0,10,0
"414","VEN","Venezuela (Bolivarian Republic of)",57,635,1028,1589,3
"415","VGB","British Virgin Islands",1,1,1,1,0
"416","VIR","United States Virgin Islands",6,20,23,26,0
"417","VNM","Viet Nam",0,35,35,35,0
"418","YEM","Yemen",325,587,610,882,0
"419","ZAF","South Africa",2844,16866,28469,52788,5
"420","ZMB","Zambia",30,333,388,1202,0
"421","ZWE","Zimbabwe",7,228,363,1520,1
