"","LocID","Location","MidPeriod","Sex","0m1","4m1","10m5","10m15","10m25","10m35","10m45","10m55","10m65","10m75","m85+","0p1","4p1","10p5","10p15","10p25","10p35","10p45","10p55","10p65","10p75"
"14","BRB","Barbados","2020.5","Male",0.0105364424674326,0.000537311299156807,0.000252886756098213,0.000848509794571982,0.00100608704831029,0.00181545590473256,0.00483619401442372,0.0112039267360936,0.0176168591643487,0.046472697076479,0.134850468634343,0.989565888727375,0.997853476742716,0.997474328156819,0.991547114347733,0.989987381785833,0.981987146180247,0.952597489655153,0.893628331523854,0.836952529337072,0.616376511409324
"15","BEL","Belgium","2020.5","Male",0.00282228597408532,0.000174879268456472,8.80665872528103e-05,0.000435179961368992,0.000696086142649535,0.00121793816703007,0.003120169476854,0.00840206130137121,0.0188477525858361,0.0509707547277196,0.171887461109978,0.997185263944961,0.999300777787168,0.999119677003678,0.995655880882817,0.993062342306027,0.987884732520563,0.969196344451106,0.918951652133729,0.826132221087466,0.584474103967072
"16","BTN","Bhutan","2020.5","Male",0.0250414768674649,0.00143144185062823,0.000688368890042407,0.00113691119965127,0.00250830701200648,0.0046093313461194,0.00757898079920699,0.0130940965700344,0.0264289717795717,0.0607611224219796,0.148326306615653,0.9755044506207,0.99429405471145,0.993141129786669,0.988685470086113,0.975191724234814,0.954864434400295,0.926798890619498,0.876513396106102,0.764163902696374,0.529031443314589
"17","BOL","Bolivia (Plurinational State of)","2020.5","Male",0.0302271315964669,0.00481307646246807,0.00114209694482498,0.00250241179662429,0.00343408845987225,0.00477814251682812,0.00756127687046316,0.0146850370004764,0.027184207661472,0.0568301041081553,0.137512126764233,0.970551026547319,0.980971065729793,0.988652302472235,0.97524362367993,0.966221522971347,0.953283976549879,0.92696691530744,0.862275757345061,0.758958574588745,0.554722102486676
"18","BIH","Bosnia and Herzegovina","2020.5","Male",0.00669405634481899,0.000182264456134372,0.000150956177240057,0.000445515484255031,0.000689860796721435,0.00140384866057334,0.00451031932621529,0.0126967637050849,0.0321745463403171,0.0827329345839335,0.199471572064259,0.993347738646789,0.99927126308394,0.998491416903771,0.995552970680968,0.993122932459558,0.986044271745727,0.955704313588377,0.879633695321155,0.71849047299528,0.412631000808604
"19","BWA","Botswana","2020.5","Male",0.0324950208097607,0.00203137248983006,0.000546344204740172,0.0012285110219521,0.00289422764763365,0.00608317581385552,0.0103166065396385,0.0186267066647756,0.0406209491913922,0.0987271801571408,0.249479481657761,0.968397754142657,0.991914583693805,0.994551981223343,0.987777743084216,0.971417739940006,0.940827536125842,0.901523811835659,0.828338411141781,0.658130862376045,0.340227236885294
"20","BRA","Brazil","2020.5","Male",0.0132675389876789,0.000576708397119364,0.000297167736239215,0.00210823520449236,0.00252603460048165,0.00359543621473941,0.0066576056878965,0.0135647779775427,0.0291947116901998,0.0642899774745659,0.153039631842423,0.986892261947963,0.997696341720294,0.997032478490483,0.979103767653926,0.975047263514043,0.964637998089152,0.935351031004867,0.872120026674224,0.74304720221655,0.510103343044063
"21","BLZ","Belize","2020.5","Male",0.0135157551865772,0.000540285245059992,0.000367917955062632,0.00187280109181471,0.00373357003557771,0.00449628111173497,0.0070652187827997,0.0152085504763402,0.0259922853544545,0.0610251465668641,0.150975939531207,0.986649445149593,0.99784165465879,0.996327287340908,0.981416166740217,0.96331135367015,0.955988684504758,0.931576205459747,0.857918606675486,0.768404755129525,0.52364915163732
"22","SLB","Solomon Islands","2020.5","Male",0.0165837915817748,0.00121569668230189,0.000403327435172079,0.00114900618352996,0.00140606525985086,0.00246179462322172,0.00619022413055485,0.0158054850699748,0.0363205816551024,0.0893509747004612,0.211516860416946,0.98366276757512,0.995151328562894,0.995974987097671,0.988568832010745,0.986033378775265,0.975644963568867,0.93968021746369,0.852309786107656,0.688509884337312,0.382747771512732
"23","BRN","Brunei Darussalam","2020.5","Male",0.00779017172869858,0.000662205004748783,0.000244985094752074,0.000943110106465891,0.00119774749573674,0.00215688631754791,0.00546027637174263,0.0131153422030198,0.0267773595078076,0.0672738913144464,0.174866558293545,0.992266207704773,0.997355354888009,0.99755310980934,0.990607795769283,0.988090638650159,0.978631686072091,0.946632621674821,0.876212242709587,0.761213445029124,0.490952834661993
"24","BGR","Bulgaria","2020.5","Male",0.00685038815453878,0.000288369707578171,0.00019481092756738,0.000707788696237726,0.00111984676698169,0.00254334418796678,0.00770064508316375,0.0191803734171719,0.0395295027290923,0.085774388686833,0.230803117957839,0.993193328821191,0.998847310476685,0.998053709940712,0.992944276758152,0.988856403429825,0.974838391779488,0.925400481104853,0.82336896123236,0.667501631107268,0.397691066053846
