LocID,Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,days_2022,CCDR_2022,CCMR_2022,ISCDR_2022,days_l12m,CCDR_l12m,CCMR_l12m,ISCDR_l12m,CDR_l12m,e0_l12m_M,e0_l12m_F,e0_l12m_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
GNQ,Equatorial Guinea,Cntry/Terr,1402.985,50.017,9.434,33,0.055185367,0.196521496,0.2716695,365,0.068425536,0.243671272,0.336848914,8.960701648,57.82762512,60.11309878,58.94249032,-0.182392686,-0.12582996,-0.154801112
EST,Estonia,Cntry/Terr,1326.539,31.294,11.619,33,0.908835745,0.55211591,0.763239931,365,1.229515303,0.746928104,1.032546508,13.42102697,73.30774588,81.60154743,77.35350274,-1.163120453,-1.175248489,-1.169036568
SWZ,Eswatini,Cntry/Terr,1160.164,67.451,9.42,33,0.72455796,2.001659823,2.76707604,365,0.721449726,1.993073034,2.755205742,9.98756095,54.96506139,63.48048115,59.11892469,-1.095442056,-1.284724557,-1.187774983
ETH,Ethiopia,Cntry/Terr,114963.583,114.964,6.662,33,0.040119424,0.1168392,0.16151743,365,0.045736222,0.133196918,0.184130188,6.42330457,64.81746855,68.7205815,66.72142609,-0.148335591,-0.1091109,-0.129201595
FIN,Finland,Cntry/Terr,5540.718,18.233,9.728,33,0.870360889,0.496142372,0.685862629,365,0.239319164,0.136422005,0.188588519,10.31961221,78.98314252,84.57760796,81.71215005,-0.291682054,-0.255710729,-0.274135066
FRA,France,Cntry/Terr,65273.512,119.209,9.269,33,1.316119275,0.749982769,1.036769249,365,0.88406458,0.503778962,0.696419381,10.51064163,78.75200957,84.56280994,81.58654634,-1.124580721,-1.027213977,-1.077084748
GUF,French Guiana,Cntry/Terr,298.682,3.634,2.924,33,1.222035476,2.283537756,3.156741489,365,0.987672508,1.845599008,2.551339011,4.077757698,74.29725787,80.29171211,77.22138189,-2.945878016,-2.873742448,-2.910689934
GAB,Gabon,Cntry/Terr,2225.728,8.638,6.909,33,0.064602628,0.173401815,0.239709066,365,0.104684849,0.280987683,0.388434776,6.857915242,64.19828614,68.52919896,66.31092654,-0.268195914,-0.206397299,-0.238050248
GMB,Gambia,Cntry/Terr,2416.664,238.801,7.994,33,0.100689766,0.37463635,0.517893828,365,0.09765528,0.36334594,0.502286069,7.673117175,60.68622129,63.6211631,62.11790022,-0.292006283,-0.208861807,-0.251448002
GEO,Georgia,Cntry/Terr,3989.175,57.406,12.848,33,3.488000006,2.889432548,3.99432485,365,2.980315479,2.468870566,3.412943852,15.49511701,66.96475658,75.63890437,71.19604819,-2.5001919,-2.589681189,-2.543845212
DEU,Germany,Cntry/Terr,83783.945,240.372,11.158,33,0.824555891,0.437970558,0.605446452,365,0.743483731,0.394908323,0.545917616,12.36013152,78.31200224,83.15904566,80.67641367,-0.823581983,-0.685822071,-0.756382026
GHA,Ghana,Cntry/Terr,31072.945,136.56,7.349,33,0.038443265,0.11032392,0.152510767,365,0.032343249,0.092818184,0.128310999,7.253016842,63.10622776,65.35913222,64.20520554,-0.082305989,-0.056806691,-0.069867307
GRC,Greece,Cntry/Terr,10423.056,80.862,10.812,33,3.077385133,1.566678487,2.16576186,365,1.714084622,0.872630296,1.206316057,13.13878653,78.06799203,83.25562181,80.59854314,-1.91964236,-1.517813763,-1.723628411
