"","LocID","Location","Time","PopM.0","PopM.1-4","PopM.5-14","PopM.15-24","PopM.25-34","PopM.35-44","PopM.45-54","PopM.55-64","PopM.65-74","PopM.75-84","PopM.85+","PopF.0","PopF.1-4","PopF.5-14","PopF.15-24","PopF.25-34","PopF.35-44","PopF.45-54","PopF.55-64","PopF.65-74","PopF.75-84","PopF.85+"
"84","IRN","Iran (Islamic Republic of)","2020",806.756,3106.541,6752.529,5630.907,7594.286,7391.361,4929.635,3385.92,1838.659,778.288,193.524,776.656,2947.606,6393.713,5455.304,7659.095,7372.704,4853.139,3423.206,1873.973,679.93,149.221
"85","IRQ","Iraq","2020",533.876,2234.19,5028.464,4070.235,3211.564,2350.946,1574.767,736.611,436.275,158.52,22.33,502.988,2109.369,4760.524,3881.212,3081.517,2275.393,1626.83,859.262,518.347,209.859,39.424
"81","ISL","Iceland","2020",2.026,8.455,23.474,22.237,25.008,23.023,20.986,20.692,15.628,7.303,2.573,1.833,8.125,22.37,21.497,23.857,22.358,20.89,21.104,15.438,8.32,4.053
"87","ISR","Israel","2020",84.995,349.631,801.61,662.811,578.534,549.073,451.478,349.617,299.988,129.065,51.315,81.029,332.173,759.267,628.616,559.176,552.136,462.548,378.315,342.397,166.31,85.457
"88","ITA","Italy","2020",221.298,975.991,2844.905,3011.032,3328.206,3916.602,4821.536,4177.929,3266.36,2140.683,733.183,208.71,918.695,2682.753,2807.565,3198.236,3905.304,4919.73,4434.584,3656.733,2798.82,1492.973
"90","JAM","Jamaica","2020",22.614,95.292,234.533,255.388,246.527,186.603,167.426,130.817,78.81,38.583,13.048,21.795,91.122,226.315,245.5,240.293,202.858,182.697,142.576,82.325,42.311,13.728
"93","JOR","Jordan","2020",101.519,440.999,1165.06,999.259,827.747,674.32,500.971,267.962,124.16,55.632,8.35,96.161,419.443,1128.94,981.186,812.12,645.523,466.88,271.645,136.407,66.71,12.146
"91","JPN","Japan","2020",446.371,2007.463,5630.37,6002.367,6627.082,8225.284,9453.489,7698.011,8408.412,5370.605,1883.591,422.788,1901.859,5335.644,5697.155,6313.111,7908.808,9209.776,7681.015,9098.019,7026.501,4128.737
"92","KAZ","Kazakhstan","2020",184.557,805.876,1826.536,1135.753,1555.115,1247.387,992.602,838.748,366.599,137.829,21.937,171.826,757.925,1725.597,1080.909,1575.601,1272.239,1087.798,1034.351,580.954,310.317,66.251
"94","KEN","Kenya","2020",719.296,2839.047,6903.577,5641.063,4159.829,3066.826,1837.264,984.554,440.516,112.933,13.622,699.168,2786.853,6802.192,5606.186,4220.544,3140.078,1910.404,1105.191,571.162,182.063,28.932
