Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,days_2021,CCDR_2021,CCMR_2021,ISCDR_2021,days_l12m,CCDR_l12m,CCMR_l12m,ISCDR_l12m,CDR_l12m,e0_l12m_M,e0_l12m_F,e0_l12m_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
Kuwait,Cntry/Terr,4270.563,239.65,2.666,244,0.520168871,1.227113146,1.680568062,365,0.44092547,1.040172666,1.424547498,3.516861547,73.68870626,75.98439562,74.80855473,-1.1573397,-0.734000178,-0.950832616
Kyrgyzstan,Cntry/Terr,6524.191,34.016,6.065,244,0.268951756,0.640513588,0.877202468,365,0.225162016,0.536227513,0.734379576,6.087928331,67.13520419,75.22554446,71.08171164,-0.392494276,-0.467184888,-0.428928721
Latvia,Cntry/Terr,1886.202,30.325,14.598,244,1.540946773,0.88090596,1.206426993,365,1.348742075,0.771029184,1.05594747,16.47909849,69.4921532,79.02769327,74.14363616,-0.87831085,-1.060013292,-0.966946188
Lebanon,Cntry/Terr,6825.442,667.199,4.308,244,1.44320504,2.197867722,3.010045416,365,1.153624923,1.756864001,2.406077663,5.813022735,74.75641063,78.83362808,76.74529719,-2.518117344,-2.1318224,-2.329680786
Liberia,Cntry/Terr,5057.677,52.509,7.599,244,0.0479145,0.167499105,0.229395022,365,0.032228234,0.11266319,0.1542956,7.423705084,62.77987609,65.65779903,64.18374094,-0.092759286,-0.061627173,-0.077572889
Libya,Cntry/Terr,6871.287,3.905,5.07,244,0.602820351,1.393471426,1.90840069,365,0.581113844,1.343294956,1.839682518,5.784627841,68.93786201,74.98059512,71.8855367,-1.315521152,-1.114245746,-1.217338027
Liechtenstein,Cntry/Terr,38.137,238.356,NA,244,0.784488365,NA,1.719995543,365,1.520832787,1.151152054,1.576537081,NA,NA,NA,NA,NA,NA,NA
Lithuania,Cntry/Terr,2722.291,43.436,13.564,244,1.705101617,0.947358261,1.297435401,365,1.643836019,0.913318958,1.25081756,16.20528175,69.36891835,80.02475677,74.56688831,-1.083644262,-1.392423267,-1.234268167
Luxembourg,Cntry/Terr,625.976,241.69,7.137,244,0.800553135,0.614829763,0.842027703,365,1.127838767,0.866187154,1.186269149,8.437269085,78.65860242,83.03012152,80.79105076,-1.67011722,-1.425020852,-1.550558016
Madagascar,Cntry/Terr,27691.019,47.596,6.129,244,0.037544723,0.13467729,0.184444566,365,0.027409609,0.098321456,0.134654167,5.943720467,65.609515,68.93404532,67.23123711,-0.092458827,-0.064534216,-0.078837065
Malawi,Cntry/Terr,19129.955,202.906,6.772,244,0.155455277,0.68922564,0.943915076,365,0.104652625,0.463987286,0.63544443,6.503828025,61.04106847,67.38213472,64.13427152,-0.31314436,-0.272298852,-0.293219722
Malaysia,Cntry/Terr,32365.998,98.512,5.054,244,0.748413049,1.248972291,1.710504813,365,0.510906538,0.85261489,1.167681529,5.907120329,73.05666875,77.56370404,75.25522255,-1.294509595,-0.874686229,-1.089717709
Maldives,Cntry/Terr,540.542,1801.807,2.839,244,0.49259908,1.22399602,1.676299066,365,0.364449016,0.905572429,1.240208457,3.091073131,76.31777179,79.81395953,78.02322922,-1.466946385,-1.143690294,-1.309260487
Mali,Cntry/Terr,20250.834,16.596,9.821,244,0.019944534,0.094154789,0.128947792,365,0.020394222,0.09627769,0.131855169,9.243282246,58.74613975,60.37740337,59.5418781,-0.067442709,-0.040069155,-0.054089756
Malta,Cntry/Terr,441.539,1379.809,8.24,244,0.752119663,0.460019548,0.630010494,365,0.969336797,0.592876236,0.811961693,9.824326142,79.66734149,83.37139232,81.47419555,-1.206515082,-0.996570801,-1.104103237
Martinique,Cntry/Terr,375.265,354.024,9.066,244,1.470927757,0.784237525,1.074036686,365,1.047259936,0.558355457,0.764684456,10.85263035,78.20700209,84.56348989,81.30772785,-1.159652071,-1.171472069,-1.165417924
Mauritania,Cntry/Terr,4649.66,4.511,7.268,244,0.118393991,0.419114913,0.573990378,365,0.119363566,0.422547212,0.578691013,7.19867706,63.09065858,66.46021453,64.73434441,-0.347237761,-0.246086707,-0.297895783
Mauritius,Cntry/Terr,1271.767,626.486,8.299,244,0.024701014,0.025725341,0.035231622,365,0.016512459,0.017197214,0.023552098,8.886808822,71.78401179,78.5552775,75.08706823,-0.022429937,-0.022560367,-0.022493561
Mayotte,Cntry/Terr,272.813,727.501,2.685,244,0.657989893,1.704248602,2.334019304,365,0.494844454,1.281688332,1.755310408,3.326575948,74.22064172,81.03449898,77.54447453,-2.107081726,-2.037317981,-2.073050631
Mexico (Country),Cntry/Terr,128932.753,66.325,5.974,244,1.549112125,2.304491792,3.15607026,365,1.496881091,2.226791807,3.049657813,7.719802379,69.42696478,75.55888181,72.41814382,-2.929920583,-2.440098704,-2.690983081
Aguascalientes,Mexico,1360.852057,242.3128719,4.368791118,244,1.357560152,2.354148559,3.224076684,365,1.596058873,2.767729806,3.79048854,6.854877119,69.36602388,75.81426932,72.51150946,-3.598670125,-3.07075768,-3.341151859
Baja California,Mexico,3605.789312,50.51421603,4.88103275,244,1.475660853,2.878069729,3.941602356,365,1.632097577,3.183177641,4.359456744,6.426469585,68.93516344,75.67060406,72.22074423,-4.018547564,-3.504993942,-3.768033602
Baja California Sur,Mexico,727.0073472,9.814769234,3.820880152,244,2.89094988,5.616005141,7.691286586,365,2.492409474,4.84179422,6.630981632,7.30759821,67.29447921,74.23382704,70.67952693,-5.598307794,-4.899242957,-5.257300557
Campeche,Mexico,945.7852605,16.4446194,4.644710076,244,1.146696543,1.786839455,2.447129941,365,0.971679342,1.514118969,2.073631099,7.050757747,69.86937268,76.10453775,72.91091662,-2.041970317,-1.723810249,-1.886770284
Chiapas,Mexico,5412.678969,73.8003337,4.528434843,244,0.228005182,0.415316493,0.568788328,365,0.188631176,0.343595869,0.470564793,5.713313265,71.09809971,76.62766569,73.79544897,-0.518157294,-0.420082309,-0.470315838
Chihuahua,Mexico,3832.828236,15.52724882,7.576475907,244,1.309801951,2.158546307,2.956193564,365,1.721966024,2.8377904,3.886438613,7.372024032,68.78953955,75.4878657,72.05701572,-3.602081447,-3.125975295,-3.369834544
Ciudad de Mexico,Mexico,10298.92046,6888.846188,6.225906895,244,3.028864724,3.682728526,5.043606584,365,2.610176483,3.173654907,4.346415076,9.487134354,69.41737115,75.94194596,72.60009057,-4.128042847,-3.541527042,-3.841937576
Coahuila de Zaragoza,Mexico,3150.456468,20.74787105,5.309652084,244,1.238332132,2.006496879,2.747957337,365,1.69404023,2.744890766,3.759209794,7.353055075,69.19181878,75.82262839,72.42636006,-3.509257219,-3.037567606,-3.279164725
Colima,Mexico,749.7410318,133.2248054,4.954231387,244,1.606155684,2.280336583,3.12298898,365,1.543199519,2.190954684,3.000577803,7.867145539,70.14909783,75.59543402,72.80584719,-2.995092175,-2.369563983,-2.689956471
Durango,Mexico,1858.666308,15.02473172,5.646890811,244,0.979472371,1.454749537,1.992322891,365,1.236908417,1.837103322,2.515967806,7.454499633,69.6597294,76.16230505,72.83171752,-2.454643599,-2.110356948,-2.286698891
Guanajuato,Mexico,6295.742217,205.6362575,4.945344574,244,1.455569991,2.182848549,2.98947621,365,1.467023217,2.200024403,3.012999054,7.581211923,69.2834713,75.80894784,72.46663059,-2.882231695,-2.472945165,-2.682579729
Guerrero,Mexico,3882.954143,61.07277211,4.860763558,244,1.0910233,1.509671007,2.067539483,365,0.992543269,1.373402197,1.880915282,8.346176351,68.54410682,74.89256988,71.64091807,-1.708438181,-1.438787119,-1.576901077
Hidalgo,Mexico,3072.136395,147.5537721,4.874263513,244,1.713977862,2.399743833,3.286520771,365,1.718673692,2.406318473,3.295524938,8.32889755,69.23959912,75.2773808,72.18485848,-3.08984388,-2.544709199,-2.823924523
Jalisco,Mexico,8442.703892,107.3904182,5.330797877,244,1.528378551,2.1979428,3.010148237,365,1.43484838,2.063438187,2.825940156,7.723867364,69.75261649,76.26828694,72.93099232,-2.719706508,-2.341768057,-2.535346288
Mexico (State),Mexico,17378.1873,777.5366683,4.499645556,244,1.888665216,3.398439698,4.654264554,365,1.878734498,3.380570494,4.629792146,7.144271203,68.77881644,74.39039014,71.51616947,-4.338317557,-3.422979855,-3.891811361
Michoacan de Ocampo,Mexico,4992.690384,85.1423756,5.553158937,244,1.229334077,1.568318459,2.147858918,365,1.125044729,1.435271704,1.965647418,8.251951706,70.48733477,75.60550743,72.98400436,-2.03411723,-1.571884573,-1.808637885
