LocID,Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,days_2021,CCDR_2021,CCMR_2021,ISCDR_2021,days_l12m,CCDR_l12m,CCMR_l12m,ISCDR_l12m,CDR_l12m,e0_l12m_M,e0_l12m_F,e0_l12m_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
COG,Congo,Cntry/Terr,5518.092,16.158,6.754,302,0.032853999,0.09695537,0.152410865,365,0.030082862,0.088777472,0.139555461,6.694749786,63.09385306,66.08642986,64.55364662,-0.08868035,-0.063936039,-0.076609954
GIN,Guinea,Cntry/Terr,13132.792,53.446,8.539,302,0.027977084,0.091051157,0.143129623,365,0.023909615,0.077813618,0.122320619,8.177660599,60.98080726,62.33657289,61.64215635,-0.073132094,-0.047933674,-0.060840182
MLI,Mali,Cntry/Terr,20250.834,16.596,9.821,302,0.017486811,0.062328416,0.097978357,365,0.021233693,0.075683465,0.118972083,9.244224009,58.74329481,60.37337352,59.53845516,-0.070287649,-0.044099007,-0.057512702
GHA,Ghana,Cntry/Terr,31072.945,136.56,7.349,302,0.032672532,0.085261228,0.134028033,365,0.027773357,0.072476493,0.113930822,7.249259869,63.11601295,65.36628476,64.21370652,-0.072520794,-0.049654145,-0.061366331
MDG,Madagascar,Cntry/Terr,27691.019,47.596,6.129,302,0.030639671,0.084400811,0.132675484,365,0.026181774,0.072120976,0.11337196,5.942589654,65.61412098,68.93556693,67.23433852,-0.087852852,-0.063012605,-0.075735659
FIN,Finland,Cntry/Terr,5540.718,18.233,9.728,302,0.129352423,0.06457471,0.101509462,365,0.144205137,0.071989412,0.113165146,10.23165612,79.09803676,84.67732299,81.8196398,-0.176787809,-0.155995703,-0.166645318
HTI,Haiti,Cntry/Terr,11402.533,413.735,8.568,302,0.045153787,0.082950011,0.130394871,365,0.037798619,0.069438159,0.109154654,8.506792557,61.9764659,66.36650518,64.11794847,-0.087656156,-0.069879073,-0.078984408
NOR,Norway,Cntry/Terr,5421.242,14.842,7.998,302,0.103443953,0.062416731,0.098117185,365,0.114549397,0.069117611,0.108650763,8.127130384,80.45544597,84.34119385,82.35093274,-0.177241541,-0.146553561,-0.162271795
TGO,Togo,Cntry/Terr,8278.737,152.211,8.559,302,0.025402186,0.075627738,0.118884482,365,0.022950361,0.068328131,0.107409724,8.285596341,60.34332687,62.17127503,61.2350089,-0.062009359,-0.041232022,-0.051874073
CIV,Cote d'Ivoire,Cntry/Terr,26378.275,82.951,10.155,302,0.025383371,0.07601173,0.119488106,365,0.021608691,0.06470827,0.101719414,9.837837294,56.72985528,59.31052357,57.98871786,-0.050067333,-0.03461397,-0.042529107
